text,label
My aunt has severe joint pain from arthritis and can't reach the car today. We need a vehicle to reach the hospital as soon as possible.,Orthopedics
My father is due for a follow-up endoscopy appointment this week. Can someone be sent to pick us up for the hospital?,Gastroenterology
"My aunt is a cancer patient and needs to go for radiotherapy. Need immediate pickup, this cannot wait.",Oncology
My grandmother has sudden hearing loss in one ear for the past few hours. We need urgent transport to the hospital.,ENT
My wife needs a routine checkup for ongoing hypertension today. Can someone be sent to pick us up for the hospital?,General_Medicine
My mother suddenly can't speak properly and the face looks drooped on one side since this afternoon. Can you send an ambulance immediately?,Neurology
My mother-in-law suddenly lost vision in one eye for the past few hours. We need help getting to the hospital quickly.,Neurology
My sister needs a routine consultation for chronic gastritis. Can you send an ambulance immediately?,Gastroenterology
My mother-in-law is scheduled for a routine oncology follow-up. Could you arrange pickup for the scheduled hospital appointment?,Oncology
My grandmother is hearing and seeing things that aren't there for the past few hours. Could you arrange pickup for the scheduled hospital appointment?,Psychiatry_MentalHealth
"My sister suddenly can't speak properly and the face looks drooped on one side suddenly, just now. Could you arrange pickup for the scheduled hospital appointment?",Neurology
My uncle is scheduled for an angiography appointment this week. We need help getting to the hospital quickly.,Cardiology
"My father has severe knee pain and difficulty bearing weight suddenly, just now. Need immediate pickup, this cannot wait.",Orthopedics
My mother-in-law needs a follow-up appointment for thyroid medication tomorrow. Please confirm a pickup time for the hospital visit.,General_Medicine
My mother-in-law has a chemotherapy session booked. Requesting a car for hospital transport.,Oncology
My sister is having a severe allergic reaction and the face is swelling for the past few hours. We need urgent transport to the hospital.,Emergency_Trauma
My sister-in-law is pregnant and feeling severe dizziness and cramping since this morning. Please arrange a wheelchair-accessible pickup.,Obstetrics_Gynecology
"My wife needs oxygen support during transport to the hospital suddenly, just now. Please send transport right away, this is urgent.",Pulmonology
My mother was in a road accident and is bleeding heavily since this afternoon. Requesting a car for hospital transport.,Emergency_Trauma
My husband has chest tightness with pain spreading to the left arm right now. Please confirm a pickup time for the hospital visit.,Cardiology
"My father has a persistent cough and chest congestion today. Need immediate pickup, this cannot wait.",Pulmonology
My wife is bleeding heavily and going pale for the past few hours. We need urgent transport to the hospital.,Emergency_Trauma
My father-in-law is due for a scheduled psychiatric follow-up appointment this week. Can someone be sent to pick us up for the hospital?,Psychiatry_MentalHealth
My elderly neighbor is due for a follow-up after recent heart surgery tomorrow. Please book a ride to the hospital for the appointment.,Cardiology
My sister-in-law is pregnant and feeling severe dizziness and cramping for the past few hours. Can you send an ambulance immediately?,Obstetrics_Gynecology
My father is due for a dialysis session at the hospital. Please confirm a pickup time for the hospital visit.,Nephrology_Dialysis
My colleague is having tremors and difficulty walking since this morning. Can you send an ambulance immediately?,Neurology
"My brother is extremely weak after the last chemo session and needs help reaching the hospital suddenly, just now. We need help getting to the hospital quickly.",Oncology
My husband has COPD and is struggling to breathe for the past few hours. Please arrange a wheelchair-accessible pickup.,Pulmonology
My cousin is pregnant and feeling severe dizziness and cramping. We need help getting to the hospital quickly.,Obstetrics_Gynecology
My baby is due for a routine pediatric checkup today. Please book a ride to the hospital for the appointment.,Pediatrics
My mother-in-law has ongoing sinus issues and needs an ENT checkup tomorrow. We need help getting to the hospital quickly.,ENT
My colleague needs transport for a scheduled oncology consultation. Could you arrange pickup for the scheduled hospital appointment?,Oncology
My wife is due for a routine blood test appointment. We need a vehicle to reach the hospital as soon as possible.,General_Medicine
My father fainted and is confused since last night. Requesting a car for hospital transport.,Neurology
A family friend has ongoing sinus issues and needs an ENT checkup. Can you send an ambulance immediately?,ENT
"My grandfather is unable to swallow properly due to a severely swollen throat since last night. Please send transport right away, this is urgent.",ENT
"My aunt has severe burning and pain during urination. Please send transport right away, this is urgent.",Urology
My grandmother is on home oxygen and the levels are dropping since this morning. Could you arrange pickup for the scheduled hospital appointment?,Pulmonology
My brother is due for a biopsy appointment this week. Could you arrange pickup for the scheduled hospital appointment?,Oncology
"My husband is due for a follow-up after ear surgery for the past few days. Need immediate pickup, this cannot wait.",ENT
My mother-in-law is unconscious after a fall right now. We need a vehicle to reach the hospital as soon as possible.,Emergency_Trauma
"My colleague has blood in the urine and is very worried. Need immediate pickup, this cannot wait.",Urology
My father-in-law has severe urinary retention and is in a lot of discomfort right now. We need urgent transport to the hospital.,Urology
A family friend is pregnant and feeling severe dizziness and cramping right now. We need a vehicle to reach the hospital as soon as possible.,Obstetrics_Gynecology
My son has severe vomiting and diarrhea right now. Can you send an ambulance immediately?,Pediatrics
My colleague has a persistent cough and chest congestion this week. Requesting a car for hospital transport.,Pulmonology
A family friend has chronic tonsillitis and needs a specialist consultation this week. Please arrange a wheelchair-accessible pickup.,ENT
"My mother-in-law has severe pain related to ongoing cancer treatment suddenly, just now. Can you send an ambulance immediately?",Oncology
My mother is due for a dialysis session at the hospital today. We need urgent transport to the hospital.,Nephrology_Dialysis
"My wife needs a wheelchair-accessible ride for a physiotherapy session. Please send transport right away, this is urgent.",Orthopedics
My niece has a bad cough and is having trouble breathing since this afternoon. Please confirm a pickup time for the hospital visit.,Pediatrics
My brother has a chemotherapy session booked. Could you arrange pickup for the scheduled hospital appointment?,Oncology
My daughter-in-law needs urgent care after a miscarriage. We need help getting to the hospital quickly.,Obstetrics_Gynecology
"My father needs oxygen support during transport to the hospital since this morning. Please send transport right away, this is urgent.",Pulmonology
"My son is due for scheduled vaccinations for the past few days. Please send transport right away, this is urgent.",Pediatrics
My elderly neighbor has a fractured wrist from a fall since last night. Can you send an ambulance immediately?,Orthopedics
My grandfather has stomach pain and nausea since this morning since last night. We need a vehicle to reach the hospital as soon as possible.,General_Medicine
"My wife is unconscious after a fall suddenly, just now. Need immediate pickup, this cannot wait.",Emergency_Trauma
My grandfather is extremely confused and not recognizing family members for the past few hours. We need urgent transport to the hospital.,Psychiatry_MentalHealth
My uncle needs a routine checkup for ongoing hypertension tomorrow. Can someone be sent to pick us up for the hospital?,General_Medicine
My mother-in-law has severe pain in the hip and can't walk for the past few hours. We need a vehicle to reach the hospital as soon as possible.,Orthopedics
"My grandmother has a bad case of the flu and needs to see a doctor suddenly, just now. Need immediate pickup, this cannot wait.",General_Medicine
My grandfather is having a severe allergic reaction and the face is swelling since this afternoon. Please book a ride to the hospital for the appointment.,Emergency_Trauma
"My wife has COPD and is struggling to breathe since this afternoon. Please send transport right away, this is urgent.",Pulmonology
My father is unable to swallow properly due to a severely swollen throat since this morning. Could you arrange pickup for the scheduled hospital appointment?,ENT
"My sister-in-law is pregnant and feeling severe dizziness and cramping since this morning. Please send transport right away, this is urgent.",Obstetrics_Gynecology
"My mother is extremely anxious and having trouble breathing due to stress since this afternoon. Please send transport right away, this is urgent.",Psychiatry_MentalHealth
A family friend is pregnant and feeling severe dizziness and cramping. We need urgent transport to the hospital.,Obstetrics_Gynecology
My father-in-law has numbness on one side of the face and arm for the past few hours. We need a vehicle to reach the hospital as soon as possible.,Neurology
"My daughter has a very high fever that won't come down for the past few hours. Please send transport right away, this is urgent.",Pediatrics
My colleague is due for a follow-up after a recent lung infection tomorrow. Please book a ride to the hospital for the appointment.,Pulmonology
My uncle has a chemotherapy session booked. Requesting a car for hospital transport.,Oncology
My brother has severe abdominal pain and can't stand up straight since this morning. Requesting a car for hospital transport.,Gastroenterology
My grandmother is due for a routine urology checkup this week. We need a vehicle to reach the hospital as soon as possible.,Urology
My wife is due for a biopsy appointment. Could you arrange pickup for the scheduled hospital appointment?,Oncology
My daughter has a very high fever that won't come down since last night. Requesting a car for hospital transport.,Pediatrics
My wife is due for a follow-up after ear surgery this week. Please confirm a pickup time for the hospital visit.,ENT
My father is having a severe panic attack and can't calm down since this afternoon. Can you send an ambulance immediately?,Psychiatry_MentalHealth
My sister is due for a follow-up after knee surgery tomorrow. Please book a ride to the hospital for the appointment.,Orthopedics
My grandfather is due for a follow-up after a recent lung infection. Please arrange a wheelchair-accessible pickup.,Pulmonology
My husband is due for a dialysis session at the hospital today. We need a vehicle to reach the hospital as soon as possible.,Nephrology_Dialysis
My wife is extremely weak after the last chemo session and needs help reaching the hospital since last night. We need urgent transport to the hospital.,Oncology
