text,label
My mother is a cancer patient and needs to go for radiotherapy. Please book a ride to the hospital for the appointment.,Oncology
My uncle is having severe chest pain and sweating heavily for the past few hours. Please book a ride to the hospital for the appointment.,Cardiology
My husband has a deep cut on the arm that won't stop bleeding for the past few hours. Can you send an ambulance immediately?,Emergency_Trauma
My father fell from the roof and is not moving since this morning. We need a vehicle to reach the hospital as soon as possible.,Emergency_Trauma
My elderly neighbor has had a fever and body aches for the past few days. We need a vehicle to reach the hospital as soon as possible.,General_Medicine
My grandfather has uncontrolled diabetes and needs a checkup tomorrow. Please arrange a wheelchair-accessible pickup.,General_Medicine
"My father-in-law is retaining a lot of fluid and the doctor said to come in for dialysis. Please send transport right away, this is urgent.",Nephrology_Dialysis
My husband has uncontrolled diabetes and needs a checkup. Please arrange a wheelchair-accessible pickup.,General_Medicine
My husband is having tremors and difficulty walking since last night. We need urgent transport to the hospital.,Neurology
My brother is hearing and seeing things that aren't there since this afternoon. Please arrange a wheelchair-accessible pickup.,Psychiatry_MentalHealth
My husband has a severe head injury after a fall since this afternoon. Can you send an ambulance immediately?,Emergency_Trauma
My cousin is pregnant and the water just broke since this afternoon. Can you send an ambulance immediately?,Obstetrics_Gynecology
My aunt is having a severe allergic reaction and the face is swelling for the past few hours. Can you send an ambulance immediately?,Emergency_Trauma
My mother is extremely anxious and having trouble breathing due to stress since last night. Please arrange a wheelchair-accessible pickup.,Psychiatry_MentalHealth
"My father-in-law needs oxygen support during transport to the hospital suddenly, just now. Need immediate pickup, this cannot wait.",Pulmonology
"My niece has a very high fever that won't come down suddenly, just now. Please book a ride to the hospital for the appointment.",Pediatrics
My granddaughter has had a fever that isn't going down with medicine. We need a vehicle to reach the hospital as soon as possible.,Pediatrics
My brother has sudden severe pain in the groin area right now. We need a vehicle to reach the hospital as soon as possible.,Urology
My sister needs a routine checkup for ongoing hypertension. Can someone be sent to pick us up for the hospital?,General_Medicine
"My aunt is due for a liver function test tomorrow. Need immediate pickup, this cannot wait.",Gastroenterology
My father needs a hearing test appointment today. We need urgent transport to the hospital.,ENT
"My uncle is due for a catheter change appointment this week. Need immediate pickup, this cannot wait.",Urology
My grandmother needs a routine checkup for managing diabetes medication for the past few days. Requesting a car for hospital transport.,General_Medicine
My daughter-in-law is pregnant and feeling severe dizziness and cramping right now. Please book a ride to the hospital for the appointment.,Obstetrics_Gynecology
"My uncle has severe diarrhea and is becoming dehydrated suddenly, just now. We need help getting to the hospital quickly.",Gastroenterology
My aunt needs transport for a scheduled oncology consultation tomorrow. Can someone be sent to pick us up for the hospital?,Oncology
My father is wheezing badly and can't catch a breath since this afternoon. Please book a ride to the hospital for the appointment.,Pulmonology
My wife needs an urgent psychiatric evaluation after a sudden change in behavior since this morning. Can someone be sent to pick us up for the hospital?,Psychiatry_MentalHealth
My baby has a high fever and is unusually drowsy since this morning. Can you send an ambulance immediately?,Pediatrics
My grandmother has chronic tonsillitis and needs a specialist consultation tomorrow. Could you arrange pickup for the scheduled hospital appointment?,ENT
My grandfather is not responding normally and seems disoriented right now. We need help getting to the hospital quickly.,Neurology
My father is having severe difficulty breathing right now. We need a vehicle to reach the hospital as soon as possible.,Pulmonology
"My colleague is unable to urinate and is in severe pain suddenly, just now. We need help getting to the hospital quickly.",Urology
My elderly neighbor has severe abdominal pain and can't stand up straight. Please confirm a pickup time for the hospital visit.,Gastroenterology
"My father is on home oxygen and the levels are dropping suddenly, just now. Can you send an ambulance immediately?",Pulmonology
"My aunt is due for a follow-up after recent heart surgery tomorrow. Need immediate pickup, this cannot wait.",Cardiology
My sister is due for a follow-up after knee surgery this week. Please confirm a pickup time for the hospital visit.,Orthopedics
My husband has numbness on one side of the face and arm since this morning. We need help getting to the hospital quickly.,Neurology
"My colleague is showing very aggressive and unusual behavior since this morning. Please send transport right away, this is urgent.",Psychiatry_MentalHealth
My colleague is due for a dialysis session at the hospital tomorrow. Please confirm a pickup time for the hospital visit.,Nephrology_Dialysis
My brother is due for a follow-up after knee surgery tomorrow. Requesting a car for hospital transport.,Orthopedics
My sister has a foreign object stuck in the ear. Requesting a car for hospital transport.,ENT
My father has blood in the urine and is very worried right now. We need a vehicle to reach the hospital as soon as possible.,Urology
"My elderly neighbor has asthma and is having a bad attack. Please send transport right away, this is urgent.",Pulmonology
My mother-in-law is hearing and seeing things that aren't there for the past few hours. Please book a ride to the hospital for the appointment.,Psychiatry_MentalHealth
"A family friend is pregnant and the water just broke suddenly, just now. We need help getting to the hospital quickly.",Obstetrics_Gynecology
My grandmother is due for a liver function test this week. Can someone be sent to pick us up for the hospital?,Gastroenterology
My aunt is due for a liver function test. Can someone be sent to pick us up for the hospital?,Gastroenterology
My husband has slurred speech and can't move one arm for the past few hours. Can you send an ambulance immediately?,Neurology
My aunt is due for a catheter change appointment for the past few days. Please confirm a pickup time for the hospital visit.,Urology
My colleague suddenly lost vision in one eye since this morning. We need a vehicle to reach the hospital as soon as possible.,Neurology
A family friend has chronic tonsillitis and needs a specialist consultation this week. We need a vehicle to reach the hospital as soon as possible.,ENT
My elderly neighbor has numbness on one side of the face and arm since this afternoon. We need a vehicle to reach the hospital as soon as possible.,Neurology
My father-in-law has severe lower back pain suspected to be kidney stones since this morning. We need help getting to the hospital quickly.,Nephrology_Dialysis
My colleague is due for a routine prenatal checkup. We need urgent transport to the hospital.,Obstetrics_Gynecology
"My daughter has a rash all over the body and is very fussy suddenly, just now. Can you send an ambulance immediately?",Pediatrics
My mother-in-law has severe pain related to ongoing cancer treatment right now. Please arrange a wheelchair-accessible pickup.,Oncology
My colleague is having tremors and difficulty walking right now. Can you send an ambulance immediately?,Neurology
"My mother-in-law has a severe nosebleed that won't stop for the past few hours. Need immediate pickup, this cannot wait.",ENT
"My father fell from the roof and is not moving suddenly, just now. Please confirm a pickup time for the hospital visit.",Emergency_Trauma
My colleague is not responding normally and seems disoriented since last night. We need a vehicle to reach the hospital as soon as possible.,Neurology
"My mother-in-law is showing yellowing of the eyes and skin for the past few hours. Please send transport right away, this is urgent.",Gastroenterology
My aunt has chronic tonsillitis and needs a specialist consultation tomorrow. Can someone be sent to pick us up for the hospital?,ENT
My wife is due for a scheduled ultrasound appointment. Please arrange a wheelchair-accessible pickup.,Obstetrics_Gynecology
My mother-in-law is unable to swallow properly due to a severely swollen throat for the past few hours. We need help getting to the hospital quickly.,ENT
My colleague has a chemotherapy session booked today. We need urgent transport to the hospital.,Oncology
My father was injured when a wall collapsed nearby since this afternoon. We need urgent transport to the hospital.,Emergency_Trauma
My husband needs transport for a scheduled oncology consultation tomorrow. Please book a ride to the hospital for the appointment.,Oncology
"My sister suddenly can't speak properly and the face looks drooped on one side since last night. Need immediate pickup, this cannot wait.",Neurology
"My mother-in-law has a severe head injury after a fall since last night. Need immediate pickup, this cannot wait.",Emergency_Trauma
My husband has numbness on one side of the face and arm since this morning. Could you arrange pickup for the scheduled hospital appointment?,Neurology
My brother is scheduled for a fistula checkup before dialysis today. We need a vehicle to reach the hospital as soon as possible.,Nephrology_Dialysis
"My husband stopped talking and eating and seems disoriented right now. Need immediate pickup, this cannot wait.",Psychiatry_MentalHealth
My grandmother has general body weakness and wants to see a doctor since this afternoon. We need urgent transport to the hospital.,General_Medicine
My elderly neighbor is complaining of the worst headache of their life since last night. Can you send an ambulance immediately?,Neurology
My aunt stopped talking and eating and seems disoriented since last night. We need a vehicle to reach the hospital as soon as possible.,Psychiatry_MentalHealth
My sister-in-law is due for a routine prenatal checkup for the past few days. Can someone be sent to pick us up for the hospital?,Obstetrics_Gynecology
"My niece needs urgent care after a miscarriage for the past few hours. Need immediate pickup, this cannot wait.",Obstetrics_Gynecology
My mother has chronic back pain and can barely move around for the past few days. Requesting a car for hospital transport.,Orthopedics
My mother-in-law needs an urgent psychiatric evaluation after a sudden change in behavior. Can you send an ambulance immediately?,Psychiatry_MentalHealth
My father-in-law needs a routine consultation for chronic gastritis. Please book a ride to the hospital for the appointment.,Gastroenterology
"My father has a persistent cough and chest congestion today. Need immediate pickup, this cannot wait.",Pulmonology
"My grandmother has swelling in the legs and reduced urination for the past few hours. Need immediate pickup, this cannot wait.",Nephrology_Dialysis
My mother-in-law has asthma and is having a bad attack since last night. We need urgent transport to the hospital.,Pulmonology
"My mother-in-law has a bad ear infection with severe pain. Please send transport right away, this is urgent.",ENT
"My son has a high fever and is unusually drowsy. Please send transport right away, this is urgent.",Pediatrics
My grandfather has been vomiting continuously. Can someone be sent to pick us up for the hospital?,Gastroenterology
My uncle has a chemotherapy session booked. Requesting a car for hospital transport.,Oncology
My grandfather was injured when a wall collapsed nearby right now. Can you send an ambulance immediately?,Emergency_Trauma
My brother has general body weakness and wants to see a doctor since last night. We need urgent transport to the hospital.,General_Medicine
My father-in-law has severe urinary retention and is in a lot of discomfort right now. We need urgent transport to the hospital.,Urology
"My brother has a severe nosebleed that won't stop for the past few hours. Please send transport right away, this is urgent.",ENT
"My mother is extremely anxious and having trouble breathing due to stress since last night. Need immediate pickup, this cannot wait.",Psychiatry_MentalHealth
My grandfather has a bad case of the flu and needs to see a doctor since this morning. Please confirm a pickup time for the hospital visit.,General_Medicine
My wife is due for a routine blood test appointment. We need a vehicle to reach the hospital as soon as possible.,General_Medicine
My niece has a rash all over the body and is very fussy since this morning. We need urgent transport to the hospital.,Pediatrics
"My husband fell from the roof and is not moving suddenly, just now. Need immediate pickup, this cannot wait.",Emergency_Trauma
My mother twisted the ankle badly and it's very swollen for the past few hours. Please confirm a pickup time for the hospital visit.,Orthopedics
My aunt is extremely confused and not recognizing family members right now. Can you send an ambulance immediately?,Psychiatry_MentalHealth
"My grandfather is unable to swallow properly due to a severely swollen throat since last night. Please send transport right away, this is urgent.",ENT
"My colleague is feeling weak and dizzy for no clear reason. Need immediate pickup, this cannot wait.",General_Medicine
"My wife has ongoing stomach ulcers and needs a checkup this week. Please send transport right away, this is urgent.",Gastroenterology
"My sister suddenly can't speak properly and the face looks drooped on one side suddenly, just now. Could you arrange pickup for the scheduled hospital appointment?",Neurology
My colleague needs urgent care after a miscarriage since this morning. We need a vehicle to reach the hospital as soon as possible.,Obstetrics_Gynecology
My aunt has numbness on one side of the face and arm. We need help getting to the hospital quickly.,Neurology
"My father-in-law has severe knee pain and difficulty bearing weight. Need immediate pickup, this cannot wait.",Orthopedics
"My sister has high blood pressure and is complaining of chest pressure since this afternoon. Need immediate pickup, this cannot wait.",Cardiology
My brother has numbness on one side of the face and arm. Can you send an ambulance immediately?,Neurology
"My elderly neighbor is having a mental health crisis and needs urgent evaluation for the past few hours. Please send transport right away, this is urgent.",Psychiatry_MentalHealth
My sister-in-law needs urgent care after a miscarriage since last night. We need a vehicle to reach the hospital as soon as possible.,Obstetrics_Gynecology
My father-in-law has a scheduled dialysis appointment. We need urgent transport to the hospital.,Nephrology_Dialysis
A family friend fainted and is confused for the past few hours. Can you send an ambulance immediately?,Neurology
My father has asthma and is having a bad attack since this morning. Could you arrange pickup for the scheduled hospital appointment?,Pulmonology
My uncle is unable to urinate and is in severe pain for the past few hours. Requesting a car for hospital transport.,Urology
My father-in-law has chronic acid reflux and needs a gastroenterology consultation tomorrow. Please book a ride to the hospital for the appointment.,Gastroenterology
My grandfather is due for a biopsy appointment for the past few days. Can someone be sent to pick us up for the hospital?,Oncology
My sister is pregnant and having severe abdominal pain. We need urgent transport to the hospital.,Obstetrics_Gynecology
"My mother is bleeding heavily and going pale suddenly, just now. We need help getting to the hospital quickly.",Emergency_Trauma
My uncle suddenly lost vision in one eye since this morning. We need help getting to the hospital quickly.,Neurology
My mother was hit by a motorbike and can't stand up. We need help getting to the hospital quickly.,Emergency_Trauma
